cat1,cat2,cat3,cat4,cat5
groceries,baby-care,baby-grooming,baby-grooming,baby-grooming
groceries,baby-care,baby-bath-hygiene,baby-bath-hygiene,baby-bath-hygiene
groceries,baby-care,diapers-wipes,diapers-wipes,diapers-wipes
groceries,baby-care,baby-food-formula,baby-food-formula,baby-food-formula
groceries,baby-care,health-wellness,health-wellness,health-wellness
groceries,beverages,fruit-juices,fruit-juices,fruit-juices
groceries,beverages,energy-soft-drinks,energy-soft-drinks,energy-soft-drinks
groceries,beverages,tea,tea,tea
groceries,beverages,coffee,coffee,coffee
groceries,beverages,health-drink-supplement,health-drink-supplement,health-drink-supplement
groceries,beverages,soft-drinks,soft-drinks,soft-drinks
groceries,beverages,soda-flavoured-water,soda-flavoured-water,soda-flavoured-water
groceries,dairy-bakery,dairy,dairy,dairy
groceries,dairy-bakery,toast-khari,toast-khari,toast-khari
groceries,dairy-bakery,cakes-muffins,cakes-muffins,cakes-muffins
groceries,dairy-bakery,breads-and-buns,breads-and-buns,breads-and-buns
groceries,dairy-bakery,baked-cookies,baked-cookies,baked-cookies
groceries,dairy-bakery,bakery-snacks,bakery-snacks,bakery-snacks
groceries,dairy-bakery,batter-chutney,batter-chutney,batter-chutney
groceries,dairy-bakery,cheese,cheese,cheese
groceries,dairy-bakery,ghee,ghee,ghee
groceries,dairy-bakery,paneer-tofu,paneer-tofu,paneer-tofu
groceries,fruits-vegetables,fresh-fruits,fresh-fruits,fresh-fruits
groceries,fruits-vegetables,fresh-vegetables,fresh-vegetables,fresh-vegetables
groceries,fruits-vegetables,herbs-seasonings,herbs-seasonings,herbs-seasonings
groceries,fruits-vegetables,exotic-fruits-vegetables,exotic-fruits-vegetables,exotic-fruits-vegetables
groceries,home-care,all-purpose-cleaners,all-purpose-cleaners,all-purpose-cleaners
groceries,home-care,detergents,detergent-bars,detergent-bars
groceries,home-care,disposables,paper-tissues-napkins,paper-tissues-napkins
groceries,home-care,detergents,detergents,detergents
groceries,home-care,dishwash,dishwash,dishwash
groceries,home-care,fresheners-repellents,fresheners-repellents,fresheners-repellents
groceries,home-care,pooja-needs,pooja-needs,pooja-needs
groceries,home-care,shoe-care,shoe-care,shoe-care
groceries,home-care,kitchenware,kitchenware,kitchenware
groceries,home-care,auto-care,auto-care,auto-care
groceries,home-kitchen,pooja-needs,pooja-needs,pooja-needs
groceries,home-kitchen,disposables,disposables,disposables
groceries,home-kitchen,electrical,electrical,electrical
groceries,home-kitchen,mops-brushes-scrubs,mops-brushes-scrubs,mops-brushes-scrubs
groceries,home-kitchen,furnishing,furnishing,furnishing
groceries,home-kitchen,stationery,stationery,stationery
groceries,home-kitchen,auto-care,auto-care,auto-care
